,accession,strain
137,PQ284483,S38_PQ284483_36572018_C1R5_BIA_PLG_16_5_2018
138,PQ284484,S38_PQ284484_61502019_C1R5_BIA_PLG_3_7_2019
139,PQ284485,S38_PQ284485_54912019_C1R6_BIA_PLG_12_6_2019
140,PQ284486,S38_PQ284486_74092017_C2_BIA_PLG_2_11_2017
141,PQ284487,S38_PQ284487_42802018_C2_BIA_PLG_11_6_2018
142,PQ284490,S22_PQ284490_2414_C1R5_LJU_SVN_16_05_2019
143,PQ284489,S22_PQ284489_2035_C1R6_LJU_SVN_20_05_2019
144,MG367599,S3_MG367599_DK1605_C1R5_COP_DNK_02_06_2016
145,MG367598,S3_MG367598_DK1604_C1R5_COP_DNK_23_05_2016
146,MG367596,S3_MG367596_DK1602_C1R5_COP_DNK_29_02_2016
147,MG367600,S3_MG367600.1_DK1606_C1R1_COP_DNK_18_06_2016
148,JN874547,BrCr
149,X8760,BrCr
150,U22521,BrCr
151,AB037250,5033/98
152,AB037251,5142/98
153,AB037252,H0106/98
154,AB037253,1657/98
155,AB037254,1658/98
156,AB037255,1569/98
157,AB037256,1499/98
158,AB037257,TW/480/98
159,AB037258,TW/874/98
160,AB037259,TW/737/98
161,AB037260,607/98
162,AB037261,602/98
163,AB037262,588/98
164,AB037263,1226/98
165,AB037264,1288/98
166,AB037265,1386/98
167,AB037266,693/98
168,AB037267,240/86
169,AB037268,244/86
170,AB046379,5929/98
171,AB046739,5929/98
172,AB046740,7008/98
173,AB059813,Nagoya/Japan/73
174,AB059814,258-Bulgaria-75
175,AB059815,Hungary-78
176,AB059816,Yamanashi/Japan/80
177,AB059818,C7/Osaka/Japan/97
178,AB115490,F1-CHN-00
179,AB115491,F2-CHN-00
180,AB115492,H25-CHN-00
181,AB115493,H26-CHN-00
182,AB115494,97-56-CHN-97
183,AB115495,02363-Thai-02
184,AB177809,934-Yamagata-00
185,AB177810,1116-Yamagata-00
186,AB177811,1141-Yamagata-00
187,AB177812,1585-Yamagata-01
188,AB177813,75-Yamagata-03
189,AB177814,100-Yamagata-03
190,AB177815,2542-Yamagata-03
191,AB177816,2716-Yamagata-03
192,AB213614,671-Yamagata-98
193,AB213615,705-Yamagata-98
194,AB213616,932-Yamagata-99
195,AB213617,957-Yamagata-99
196,AB213618,983-Yamagata-99
197,AB213619,1002-Yamagata-99
198,AB213620,738-Yamagata-00
199,AB213621,739-Yamagata-00
200,AB213622,786-Yamagata-00
201,AB213623,962-Yamagata-00
202,AB213624,980-Yamagata-00
