,accession,strain
3719,KU710725,BJ14-10
3720,KU710726,BJ14-12
3721,KU710727,BJ14-14
3722,KU710728,BJ14-16
3723,KU710729,BJ14-18
3724,KU710730,BJ14-1
3725,KU710731,BJ14-5
3726,KU710732,BJ14-7
3727,KU710733,BJ14-9
3728,KU710734,BJ14-11
3729,KU710735,BJ14-13
3730,KU710736,BJ14-15
3731,KU710737,BJ14-17
3732,KU710738,BJ14-19
3733,KU710739,BJ14-21
3734,KU710740,BJ14-23
3735,KU726099,614-2014-Henan
3736,KU726100,972-2014-Henan
3737,KU726101,62-2014-Henan
3738,KU726102,88-2014-Henan
3739,KU726103,94-2014-Henan
3740,KU726104,97-2014-Henan
3741,KU726105,98-2014-Henan
3742,KU726106,119-2014-Henan
3743,KU726107,123-2014-Henan
3744,KU726108,143-2014-Henan
3745,KU726109,145-2014-Henan
3746,KU726110,150-2014-Henan
3747,KU726111,151-2014-Henan
3748,KU726112,153-2014-Henan
3749,KU726113,157-2014-Henan
3750,KU726114,158-2014-Henan
3751,KU726115,172-2014-Henan
3752,KU726116,217-2014-Henan
3753,KU726117,241-2014-Henan
3754,KU726118,242-2014-Henan
3755,KU726119,243-2014-Henan
3756,KU726120,247-2014-Henan
3757,KU726121,248-2014-Henan
3758,KU726122,267-2014-Henan
3759,KU726123,268-2014-Henan
3760,KU726124,280-2014-Henan
3761,KU726125,294-2014-Henan
3762,KU726126,311-2014-Henan
3763,KU726127,317-2014-Henan
3764,KU726128,318-2014-Henan
3765,KU726129,327-2014-Henan
3766,KU726130,332-2014-Henan
3767,KU726131,345-2014-Henan
3768,KU726132,372-2014-Henan
3769,KU726133,379-2014-Henan
3770,KU726134,428-2014-Henan
3771,KU726135,433-2014-Henan
3772,KU726136,462-2014-Henan
3773,KU726137,467-2014-Henan
3774,KU726138,493-2014-Henan
3775,KU726139,498-2014-Henan
3776,KU726140,398-2014-Henan
3777,KU726141,501-2014-Henan
3778,KU726142,502-2014-Henan
3779,KU726143,505-2014-Henan
3780,KU726144,565-2014-Henan
3781,KU726145,576-2014-Henan
3782,KU726146,583-2014-Henan
3783,KU726147,588-2014-Henan
3784,KU726148,667-2014-Henan
3785,KU726149,700-2014-Henan
3786,KU726150,701-2014-Henan
3787,KU726151,784-2014-Henan
3788,KU726152,841-2014-Henan
3789,KU726153,842-2014-Henan
3790,KU726154,843-2014-Henan
3791,KU726155,850-2014-Henan
3792,KU726156,852-2014-Henan
3793,KU726157,853-2014-Henan
3794,KU726158,854-2014-Henan
3795,KU726159,859-2014-Henan
3796,KU726160,860-2014-Henan
3797,KU726161,861-2014-Henan
3798,KU726162,863-2014-Henan
3799,KU726163,1054-2014-Henan
3800,KU726164,1055-2014-Henan
3801,KU726165,1058-2014-Henan
3802,KU726166,1073-2014-Henan
3803,KU726167,1074-2014-Henan
3804,KU726168,1075-2014-Henan
3805,KU726169,1090-2014-Henan
3806,KU726170,1097-2014-Henan
3807,KU726171,1099-2014-Henan
3808,KU726172,1115-2014-Henan
3809,KU726173,1116-2014-Henan
3810,KU726174,1119-2014-Henan
3811,KU726175,1127-2014-Henan
3812,KU726176,1142-2014-Henan
3813,KU726177,1143-2014-Henan
3814,KU726178,1144-2014-Henan
3815,KU726179,1150-2014-Henan
3816,KU726180,405-2014-Henan
3817,KU726181,407-2014-Henan
3818,KU726182,408-2014-Henan
3819,KU726183,413-2014-Henan
3820,KU726184,414-2014-Henan
3821,KU726185,538-2014-Henan
3822,KU726186,545-2014-Henan
3823,KU726187,561-2014-Henan
3824,KU726188,563-2014-Henan
3825,KU726189,566-2014-Henan
3826,KU726190,568-2014-Henan
3827,KU726191,590-2014-Henan
3828,KU726192,877-2014-Henan
3829,KU726193,878-2014-Henan
3830,KU726194,970-2014-Henan
3831,KU726195,983-2014-Henan
3832,KU726196,985-2014-Henan
3833,KU726197,987-2014-Henan
3834,KU726198,990-2014-Henan
3835,KU726199,992-2014-Henan
3836,KU726200,977-2014-Henan
3837,KU726201,1000-2014-Henan
3838,KU726202,1005-2014-Henan
3839,KU726203,1016-2014-Henan
3840,KU726204,1187-2014-Henan
3841,KU726205,1188-2014-Henan
3842,KU726206,1214-2014-Henan
3843,KU726207,1222-2014-Henan
3844,KU726208,1230-2014-Henan
3845,KU726209,1231-2014-Henan
3846,KU726210,1238-2014-Henan
3847,KU726211,1252-2014-Henan
3848,KU726212,1272-2014-Henan
3849,KU726213,1275-2014-Henan
3850,KU726214,1279-2014-Henan
3851,KU726215,1324-2014-Henan
3852,KU726216,1342-2014-Henan
3853,KU726217,1350-2014-Henan
3854,KU726218,1351-2014-Henan
3855,KU726219,1383-2014-Henan
3856,KU726220,1384-2014-Henan
3857,KU726221,1385-2014-Henan
3858,KU726222,1398-2014-Henan
3859,KU726223,1401-2014-Henan
3860,KU726224,1404-2014-Henan
3861,KU726225,1419-2014-Henan
3862,KU726226,1425-2014-Henan
3863,KU726227,1441-2014-Henan
3864,KU726228,1442-2014-Henan
3865,KU726229,1450-2014-Henan
3866,KU744442,1-2015-Henan
3867,KU744443,2-2015-Henan
3868,KU744444,13-2015-Henan
3869,KU744445,20-2015-Henan
3870,KU744446,25-2015-Henan
3871,KU744447,53-2015-Henan
3872,KU744448,54-2015-Henan
3873,KU744449,59-2015-Henan
3874,KU744450,67-2015-Henan
3875,KU744451,68-2015-Henan
3876,KU744452,69-2015-Henan
3877,KU744453,78-2015-Henan
3878,KU744454,79-2015-Henan
3879,KU744455,83-2015-Henan
3880,KU887798,C5-091TS-2009_Vietnam:HoChiMinh_2009-05-27
3881,KU887964,C5-260N-2013_Vietnam:BaRia_2013-04-26
3882,KU888089,C1-5730S-2005_Vietnam:TayNinh_2005-05-16
3883,KU888092,C1-5777S-2005_Vietnam:HoChiMinh_2005-06-17
3884,KU936120,SHAPHC5218/SH/CHN/14
3885,KU936121,SHAPHC5251/SH/CHN/14
3886,KU936122,SHAPHC5267/SH/CHN/14
3887,KU936123,SHAPHC5271/SH/CHN/14
3888,KU936124,SHAPHC5287/SH/CHN/14
3889,KU936125,SHAPHC5307/SH/CHN/14
3890,KU936126,SHAPHC5510/SH/CHN/14
3891,KU936127,SHAPHC5589/SH/CHN/14
3892,KU936128,SHAPHC5365/SH/CHN/14
3893,KU936129,SHAPHC5427/SH/CHN/14
3894,KU936130,SHAPHC5330/SH/CHN/14
3895,KU936131,SHAPHC5432/SH/CHN/14
3896,KU936132,SHAPHC5468/SH/CHN/14
3897,KX139462,Jena 15-984
3898,KX267854,TW-96015-2012
3899,KX267855,TW-96023-2011
3900,KX372310,
3901,KX372311,SiICRC10/TH/2011
3902,KX372312,SiICRC15/TH/2011
3903,KX372313,SiICRC16/TH/2011
3904,KX372314,SiICRC01/TH/2012
3905,KX372315,SiICRC02/TH/2012
3906,KX372316,
3907,KX372317,SiICRC04/TH/2012
3908,KX372318,SiICRC05/TH/2012
3909,KX372319,SiICRC06/TH/2012
3910,KX372320,SiICRC09/TH/2012
3911,KX372321,SiICRC10/TH/2012
3912,KX372322,SiICRC11/TH/2012
3913,KX372323,SiICRC01/TH/2013
3914,KX372325,SilCRC03/TH/2013
3915,KX372326,SiICRC04/TH/2013
3916,KX372327,
3917,KX372329,SiICRC05/TH/2014
3918,KX372330,
3919,KX372331,SiICRC07/TH/2014
3920,KX372332,SiICRC08/TH/2014
3921,KX372688,FL13001T/AH/CHN/2013
3922,KX372689,FL13022T/AH/CHN/2013
3923,KX372690,FL13047T/AH/CHN/2013
3924,KX372691,FL13052T/AH/CHN/2013
3925,KX372692,FL13058T/AH/CHN/2013
3926,KX372693,FL13061T/AH/CHN/2013
3927,KX372694,FL13073T/AH/CHN/2013
3928,KX372695,FL13077T/AH/CHN/2013
3929,KX430824,
3930,KX752783,Jinan/SD/CHN/2015
3931,KX791189,wh71-CHN-11
3932,KX791190,wh82-CHN-11
3933,KX791191,wh92-CHN-11
3934,KX791192,wh99-CHN-11
3935,KX791193,wh170-CHN-12
3936,KX791194,wh205-CHN-12
3937,KX791195,wh207-CHN-12
3938,KX871447,SHCA2016-097
3939,KX871451,SHCA2016-103
3940,KX871480,SHEV2012-010
3941,KX871481,SHEV2012-013
3942,KX871482,SHEV2012-017
3943,KX871483,SHEV2012-018
3944,KX871484,SHEV2012-026
3945,KX871485,SHEV2012-032
3946,KX871486,SHEV2012-036
3947,KX871487,SHEV2012-038
3948,KX871488,SHEV2012-039
3949,KX871489,SHEV2012-040
3950,KX871490,SHEV2012-042
3951,KX871491,SHEV2012-060
3952,KX871492,SHEV2012-E3
3953,KX871493,SHEV2012-E4
3954,KX871494,SHEV2012-E5
3955,KX871495,SHEV2012-JW1
3956,KX871496,SHEV2012-JW10
3957,KX871497,SHEV2012-JW11
3958,KX871498,SHEV2012-JW12
3959,KX871499,SHEV2012-JW13
3960,KX871500,SHEV2012-JW14
3961,KX871501,SHEV2012-JW2
3962,KX871502,SHEV2012-JW3
3963,KX871503,SHEV2012-JW6
3964,KX871504,SHEV2012-JW7
3965,KX871505,SHEV2012-JW8
3966,KX871506,SHEV2013-001
3967,KX871507,SHEV2013-002
3968,KX871508,SHEV2013-003
3969,KX871509,SHEV2013-004
3970,KX871510,SHEV2013-005
3971,KX871511,SHEV2013-006
3972,KX871512,SHEV2013-007
3973,KX871514,SHEV2013-009
3974,KX871515,SHEV2013-010
3975,KX871516,SHEV2013-011
3976,KX871517,SHEV2013-012
3977,KX871518,SHEV2013-013
3978,KX871519,SHEV2013-014
3979,KX871520,SHEV2013-015
3980,KX871521,SHEV2013-028
3981,KX871522,SHEV2013-030
3982,KX871523,SHEV2013-031
3983,KX871524,SHEV2013-102
3984,KX871525,SHEV2013-108
3985,KX871526,SHEV2013-110
3986,KX871527,SHEV2013-111
3987,KX871528,SHEV2013-132
3988,KX871529,SHEV2013-JW1
3989,KX871530,SHEV2013-JW10
3990,KX871531,SHEV2013-JW11
3991,KX871532,SHEV2013-JW14
3992,KX871533,SHEV2013-JW16
3993,KX871534,SHEV2013-JW2
3994,KX871535,SHEV2013-JW20
3995,KX871536,SHEV2013-JW21
3996,KX871537,SHEV2013-JW3
3997,KX871538,SHEV2013-JW4
3998,KX871539,SHEV2013-JW48
3999,KX871540,SHEV2013-JW5
4000,KX871541,SHEV2013-JW6
4001,KX871542,SHEV2013-JW8
4002,KX871543,SHEV2013-JW9
4003,KX871544,SHEV2013-QI1
4004,KX871545,SHEV2014-016
4005,KX871546,SHEV2014-017
4006,KX871547,SHEV2014-018
4007,KX871548,SHEV2014-019
4008,KX871549,SHEV2014-020
4009,KX871550,SHEV2014-021
4010,KX871551,SHEV2014-022
4011,KX871552,SHEV2014-023
4012,KX871553,SHEV2014-024
4013,KX871554,SHEV2014-025
4014,KX871555,SHEV2014-026
4015,KX871556,SHEV2014-032
4016,KX871557,SHEV2014-033
4017,KX871558,SHEV2014-034
4018,KX871559,SHEV2014-037
4019,KX871560,SHEV2014-038
4020,KX871561,SHEV2014-040
4021,KX871562,SHEV2014-041
4022,KX871563,SHEV2014-042
4023,KX871564,SHEV2014-045
4024,KX871565,SHEV2014-046
4025,KX871566,SHEV2014-047
4026,KX871567,SHEV2014-116
4027,KX871568,SHEV2014-117
4028,KX871569,SHEV2014-120
4029,KX871570,SHEV2014-127
4030,KX871571,SHEV2014-905
4031,KX871572,SHEV2014-906
4032,KX871573,SHEV2014-907
4033,KX871574,SHEV2014-914
4034,KX871575,SHEV2014-918
4035,KX871576,SHEV2014-923
4036,KX871577,SHEV2014-924
4037,KX871578,SHEV2014-925
4038,KX871579,SHEV2014-927
4039,KX871580,SHEV2014-928
4040,KX871581,SHEV2014-931
4041,KX871582,SHEV2014-933
4042,KX871583,SHEV2014-934
4043,KX871584,SHEV2014-939
4044,KX871585,SHEV2014-943
4045,KX871586,SHEV2014-944
4046,KX871587,SHEV2014-945
4047,KX871588,SHEV2014-948
4048,KX871589,SHEV2014-JW1
4049,KX871590,SHEV2014-JW10
4050,KX871591,SHEV2014-JW11
4051,KX871592,SHEV2014-JW14
4052,KX871593,SHEV2014-JW16
4053,KX871594,SHEV2014-JW2
4054,KX871595,SHEV2014-JW21
4055,KX871596,SHEV2014-JW22
4056,KX871597,SHEV2014-JW24
4057,KX871598,SHEV2014-JW25
4058,KX871599,SHEV2014-JW3
4059,KX871600,SHEV2014-JW30
4060,KX871601,SHEV2014-JW31
4061,KX871602,SHEV2014-JW32
4062,KX871603,SHEV2014-JW34
4063,KX871604,SHEV2014-JW35
4064,KX871605,SHEV2014-JW36
4065,KX871606,SHEV2014-JW37
4066,KX871607,SHEV2014-JW4
4067,KX871608,SHEV2014-JW48
4068,KX871609,SHEV2014-JW5
4069,KX871610,SHEV2014-JW6
4070,KX871611,SHEV2014-JW8
4071,KX871612,SHEV2014-JW9
4072,KX871613,SHEV2015-015
4073,KX871614,SHEV2015-016
4074,KX871615,SHEV2015-017
4075,KX871616,SHEV2015-018
4076,KX871617,SHEV2015-019
4077,KX871618,SHEV2015-020
4078,KX871619,SHEV2015-023
4079,KX871620,SHEV2015-024
4080,KX871621,SHEV2015-026
4081,KX871622,SHEV2015-027
4082,KX871623,SHEV2015-028
4083,KX871624,SHEV2015-26
4084,KX871625,SHEV2015-933
4085,KX871626,SHEV2015-935
4086,KX871627,SHEV2015-939
4087,KX871628,SHEV2015-940
4088,KX871629,SHEV2015-941
4089,KX871630,SHEV2015-942
4090,KX871631,SHEV2015-943
4091,KX871632,SHEV2016-023
4092,KX871633,SHEV2016-024
4093,KX871634,SHEV2016-025
4094,KX871635,SHEV2016-026
4095,KX871637,SHEV2016-028
4096,KX871638,SHEV2016-029
4097,KX871639,SHEV2016-030
4098,KX871640,SHEV2016-031
4099,KX871641,SHEV2016-032
4100,KX871642,SHEV2016-033
4101,KX871643,SHEV2016-034
4102,KX871644,SHEV2016-035
4103,KX871645,SHEV2016-036
4104,KX871646,SHEV2016-037
4105,KX871647,SHEV2016-038
4106,KX871648,SHEV2016-039
4107,KX871649,SHEV2016-042
4108,KX871650,SHEV2016-043
4109,KX871651,SHEV2016-044
4110,KX871652,SHEV2016-045
4111,KX871653,SHEV2016-046
4112,KX871654,SHEV2016-047
4113,KX871655,SHEV2016-048
4114,KX871656,SHEV2016-049
4115,KX871657,SHEV2016-050
4116,KX871658,SHEV2016-051
4117,KX871659,SHEV2016-052
4118,KX871660,SHEV2016-053
4119,KX871661,SHEV2016-055
4120,KX871662,SHEV2016-056
4121,KX871663,SHEV2016-057
4122,KX871664,SHEV2016-058
4123,KX871665,SHEV2016-059
4124,KX871666,SHEV2016-060
4125,KX871667,SHEV2016-061
4126,KX871668,SHEV2016-065
4127,KX871669,SHEV2016-066
4128,KX871670,SHEV2016-067
4129,KX871671,SHEV2016-072
4130,KX871672,SHEV2016-073
4131,KX871673,SHEV2012-033
4132,KX871674,SHEV2012-059
4133,KX871675,SHEV2013-JW12
4134,KX871676,SHEV2013-JW13
4135,KX871677,SHEV2014-035
4136,KX871678,SHEV2014-044
4137,KX871679,SHEV2014-125
4138,KX871680,SHEV2014-929
4139,KX871681,SHEV2014-932
4140,KX871682,SHEV2014-938
4141,KX871683,SHEV2014-946
4142,KX871684,SHEV2014-947
4143,KX871685,SHEV2014-JW12
4144,KX871686,SHEV2014-JW13
4145,KX871687,SHEV2014-JW20
4146,KX871688,SHEV2015-934
4147,KX871689,SHEV2015-936
4148,KX893543,32-YN
4149,KY081978,SJZ2011-0002T/HeB/CHN/2011
4150,KY081979,SJZ2011-0149F/HeB/CHN/2011
4151,KY081980,SJZ2012-0885T/HeB/CHN/2012
4152,KY081981,SJZ2012-0985T/HeB/CHN/2012
4153,KY081982,SJZ2012-1022T/HeB/CHN/2012
4154,KY100879,EV71-HuB-E47-2014
4155,KY100880,EV71-HuB-E01-2014
4156,KY100881,EV71-HuB-E02-2014
4157,KY100882,EV71-HuB-E22-2014
4158,KY100883,EV71-HuB-E03-2014
4159,KY100884,EV71-HuB-E14-2014
4160,KY100885,EV71-HuB-E05-2014
4161,KY100886,EV71-HuB-E11-2014
4162,KY100887,EV71-HuB-E21-2014
4163,KY100888,EV71-HuB-E13-2014
4164,KY100889,EV71-HuB-E09-2014
4165,KY100890,EV71-HuB-E41-2014
4166,KY100891,EV71-HuB-E18-2014
4167,KY100892,EV71-HuB-E23-2014
4168,KY100893,EV71-HuB-E24-2014
4169,KY100894,EV71-HuB-E26-2014
4170,KY100895,EV71-HuB-E02-2015
4171,KY100896,EV71-HuB-E20-2015
4172,KY100897,EV71-HuB-E01-2015
4173,KY100898,EV71-HuB-E13-2015
4174,KY100899,EV71-HuB-E23-2015
4175,KY100900,EV71-HuB-E15-2015
4176,KY100901,EV71-HuB-E16-2015
4177,KY100902,EV71-HuB-E26-2015
4178,KY100903,EV71-HuB-E12-2015
4179,KY100904,EV71-HuB-E22-2015
4180,KY315729,SD004R/Shandong/China/2015
4181,KY406797,ZJ/CHN/201401
4182,KY406798,ZJ/CHN/201402
4183,KY406799,ZJ/CHN/201403
4184,KY406800,ZJ/CHN/201404
4185,KY406801,ZJ/CHN/201405
4186,KY406802,ZJ/CHN/201406
4187,KY406803,ZJ/CHN/201407
4188,KY406804,ZJ/CHN/201501
4189,KY406805,ZJ/CHN/201502
4190,KY425527,CSF15/YN/CHN/2013
4191,KY612315,2015g03
4192,KY796193,NIV0924996/EV-71/Kerala/India/2009
4193,KY865899,3101300274_2013_CEVS
4194,KY888026,USA/2016/19522
4195,KY952186,SiICRC 13/TH/2011
4196,KY991470,5631VP1/PL14/2016
4197,LC120905,15-YN-CHN-2014JK
4198,LC147338,201B-YN-CHN-2011
4199,LC147339,205B-YN-CHN-2011
4200,LC147340,210B-YN-CHN-2011
4201,LC147341,223B-YN-CHN-2011
4202,LC147342,229B-YN-CHN-2011
4203,LC147343,232B-YN-CHN-2011
4204,LC147344,233B-YN-CHN-2011
4205,LC147345,236B-YN-CHN-2011
4206,LC147346,239B-YN-CHN-2011
4207,LC147347,241B-YN-CHN-2011
4208,LC147348,242B-YN-CHN-2011
4209,LC147349,244B-YN-CHN-2011
4210,LC147350,260B-YN-CHN-2011
4211,LC147351,262B-YN-CHN-2011
4212,LC147352,264B-YN-CHN-2011
4213,LC147353,273B-YN-CHN-2011
4214,LC147354,275B-YN-CHN-2011
4215,LC147355,276B-YN-CHN-2011
4216,LC147356,277B-YN-CHN-2011
4217,LC147357,278B-YN-CHN-2011
4218,LC147358,281B-YN-CHN-2011
4219,LC147359,282B-YN-CHN-2011
4220,LC147360,284B-YN-CHN-2011
4221,LC147361,285B-YN-CHN-2011
4222,LC147362,50B-YN-CHN-2013
4223,LC147363,165B-YN-CHN-2013
4224,LC147364,40Y-YN-CHN-2014
4225,LC147365,76B-YN-CHN-2014
4226,LC147366,98Y-YN-CHN-2014
4227,LC147367,99Y-YN-CHN-2014
4228,LC147368,139Y-YN-CHN-2014
4229,LC147369,140Y-YN-CHN-2014
4230,LC147370,141Y-YN-CHN-2014
4231,LC147371,143Y-YN-CHN-2014
4232,LC147372,147Y-YN-CHN-2014
4233,LC147373,9Y-YN-CHN-2015
4234,LC147374,26Y-YN-CHN-2015
4235,LC147375,27Y-YN-CHN-2015
4236,LC147376,34Y-YN-CHN-2015
4237,LC147377,39Y-YN-CHN-2015
4238,LC147378,48Y-YN-CHN-2015
4239,LC321989,31170098
4240,LC321990,31170101
4241,LC321991,31170112
4242,LC321992,31170151
4243,LC321993,31170202
4244,LC375766,2716-Yamagata-03
4245,LC411773,A6/YN/CHN/2014
4246,LC411774,A8/YN/CHN/2014
4247,LC411775,A9/YN/CHN/2014
4248,LC411776,A10/YN/CHN/2014
4249,LC411777,A14/YN/CHN/2014
4250,LC411778,A23/YN/CHN/2014
4251,LC411780,A41/YN/CHN/2014
4252,LC411781,A45/YN/CHN/2014
4253,LC411782,A052/YN/CHN/2014
4254,LC411783,A057/YN/CHN/2014
4255,LC411784,A067/YN/CHN/2014
4256,LC411785,A069/YN/CHN/2014
4257,LC411786,A071/YN/CHN/2014
4258,LC411787,A074/YN/CHN/2014
4259,LC411789,A080/YN/CHN/2014
4260,LC411790,A099/YN/CHN/2014
4261,LC411792,A112/YN/CHN/2014
4262,LC411793,A118/YN/CHN/2014
4263,LC411796,A161/YN/CHN/2014
4264,LC411798,A174/YN/CHN/2014
4265,LC411799,A176/YN/CHN/2014
4266,LC411801,A180/YN/CHN/2014
4267,LC411802,A188/YN/CHN/2014
4268,LC411803,A205/YN/CHN/2014
4269,LC411804,A207/YN/CHN/2014
4270,LC411805,A226/YN/CHN/2014
4271,LC411806,A227/YN/CHN/2014
4272,LC411807,C2/YN/CHN/2014
4273,LC411808,C12/YN/CHN/2014
4274,LC411809,C18/YN/CHN/2014
4275,LC411810,C20/YN/CHN/2014
4276,LC411811,C21/YN/CHN/2014
4277,LC411812,C31/YN/CHN/2014
4278,LC411813,C32/YN/CHN/2014
4279,LC411814,C43/YN/CHN/2014
4280,LC411815,C69/YN/CHN/2014
4281,LC411816,C81/YN/CHN/2014
4282,LC411817,C122/YN/CHN/2014
4283,LC411818,C163/YN/CHN/2014
4284,LC411819,C165/YN/CHN/2014
4285,LC411820,D20/YN/CHN/2014
4286,LC411821,D32/YN/CHN/2014
4287,LC411822,G022/YN/CHN/2014
4288,LC411823,G041/YN/CHN/2014
4289,LC411824,G043/YN/CHN/2014
4290,LC411825,J102/YN/CHN/2014
4291,LC411826,J105/YN/CHN/2014
4292,LC411827,J115/YN/CHN/2014
4293,LC411828,J181/YN/CHN/2014
4294,LC411829,J225/YN/CHN/2014
4295,LC411830,J228/YN/CHN/2014
4296,LC411831,J241/YN/CHN/2014
4297,LC411832,J245/YN/CHN/2014
4298,LC411833,J279/YN/CHN/2014
4299,LC411834,J281/YN/CHN/2014
4300,LC411835,L4/YN/CHN/2014
4301,LC411836,L5/YN/CHN/2014
4302,LC411837,L6/YN/CHN/2014
4303,LC411838,L8/YN/CHN/2014
4304,LC411839,L10/YN/CHN/2014
4305,LC411840,L14/YN/CHN/2014
4306,LC411841,L15/YN/CHN/2014
4307,LC411842,L16/YN/CHN/2014
4308,LC411843,L18/YN/CHN/2014
4309,LC411844,L25/YN/CHN/2014
4310,LC411845,L27/YN/CHN/2014
4311,LC411846,L29/YN/CHN/2014
4312,LC411847,L31/YN/CHN/2014
4313,LC411848,L32/YN/CHN/2014
4314,LC411849,L38/YN/CHN/2014
4315,LC411850,M24/YN/CHN/2014
4316,LC411851,M26/YN/CHN/2014
4317,LC411852,M33/YN/CHN/2014
4318,LC411853,M34/YN/CHN/2014
4319,LC411854,M35/YN/CHN/2014
4320,LC411855,M047/YN/CHN/2014
4321,LC411856,M048/YN/CHN/2014
4322,LC411857,M049/YN/CHN/2014
4323,LC411858,M050/YN/CHN/2014
4324,LC411859,M051/YN/CHN/2014
4325,LC411860,M062/YN/CHN/2014
4326,LC411861,M69/YN/CHN/2014
4327,LC411862,M072/YN/CHN/2014
4328,LC411863,M092/YN/CHN/2014
4329,LC411864,M095/YN/CHN/2014
4330,LC411865,M111/YN/CHN/2014
4331,LC411866,M112/YN/CHN/2014
4332,LC411867,M113/YN/CHN/2014
4333,LC411868,M114/YN/CHN/2014
4334,LC411869,M117/YN/CHN/2014
4335,LC411870,M126/YN/CHN/2014
4336,LC411871,M129/YN/CHN/2014
4337,LC411872,M131/YN/CHN/2014
4338,LC411873,M135/YN/CHN/2014
4339,LC411874,M139/YN/CHN/2014
4340,LC411875,M148/YN/CHN/2014
4341,LC411876,M150/YN/CHN/2014
4342,LC411877,M159/YN/CHN/2014
4343,LC411878,M161/YN/CHN/2014
4344,LC411879,M168/YN/CHN/2014
4345,LC411880,M174/YN/CHN/2014
4346,LC411881,M176/YN/CHN/2014
4347,LC411882,N002/YN/CHN/2014
4348,LC411883,N004/YN/CHN/2014
4349,LC411884,N010/YN/CHN/2014
4350,LC411885,N012/YN/CHN/2014
4351,LC411886,N013/YN/CHN/2014
4352,LC411887,N014/YN/CHN/2014
4353,LC411888,N015/YN/CHN/2014
4354,LC411889,N023/YN/CHN/2014
4355,LC411890,N025/YN/CHN/2014
4356,LC411891,N028/YN/CHN/2014
4357,LC411892,N030/YN/CHN/2014
4358,LC411893,R4/YN/CHN/2014
4359,LC411894,R5/YN/CHN/2014
4360,LC411895,R27/YN/CHN/2014
4361,LC411896,R31/YN/CHN/2014
4362,LC411897,R33/YN/CHN/2014
4363,LC411898,R71/YN/CHN/2014
4364,LC411899,R92/YN/CHN/2014
4365,LC412152,A22-YN-CHN-2015
4366,LC412153,A23-YN-CHN-2015
4367,LC412154,A28-YN-CHN-2015
4368,LC412155,A41-YN-CHN-2015
4369,LC412156,A44-YN-CHN-2015
4370,LC412157,A70-YN-CHN-2015
4371,LC412158,A74-YN-CHN-2015
4372,LC412159,A99-YN-CHN-2015
4373,LC412160,A102-YN-CHN-2015
4374,LC412161,A127-YN-CHN-2015
4375,LC412162,A132-YN-CHN-2015
4376,LC412163,A133-YN-CHN-2015
4377,LC412164,A134-YN-CHN-2015
4378,LC412165,C14-YN-CHN-2015
4379,LC412166,C17-YN-CHN-2015
4380,LC412167,C18-YN-CHN-2015
4381,LC412168,C41-YN-CHN-2015
4382,LC412170,C56-YN-CHN-2015
4383,LC412171,C79-YN-CHN-2015
4384,LC412172,C88-YN-CHN-2015
4385,LC412173,C112-YN-CHN-2015
4386,LC412174,C113-YN-CHN-2015
4387,LC412175,C137-YN-CHN-2015
4388,LC412176,C153-YN-CHN-2015
4389,LC412177,C154-YN-CHN-2015
4390,LC412178,C156-YN-CHN-2015
4391,LC412179,D2-YN-CHN-2015
4392,LC412180,D6-YN-CHN-2015
4393,LC412181,D7-YN-CHN-2015
4394,LC412182,D8-YN-CHN-2015
4395,LC412183,D9-YN-CHN-2015
4396,LC412184,D12-YN-CHN-2015
4397,LC412185,D42-YN-CHN-2015
4398,LC412186,D44-YN-CHN-2015
4399,LC412187,D45-YN-CHN-2015
4400,LC412188,H1-YN-CHN-2015
4401,LC412189,J6-YN-CHN-2015
4402,LC412190,J7-YN-CHN-2015
4403,LC412191,J10-YN-CHN-2015
4404,LC412192,J23-YN-CHN-2015
4405,LC412193,J25-YN-CHN-2015
4406,LC412194,J29-YN-CHN-2015
4407,LC412195,J32-YN-CHN-2015
4408,LC412196,J33-YN-CHN-2015
4409,LC412197,J34-YN-CHN-2015
4410,LC412198,J39-YN-CHN-2015
4411,LC412199,J40-YN-CHN-2015
4412,LC412200,J44-YN-CHN-2015
4413,LC412201,J52-YN-CHN-2015
4414,LC412202,K20-YN-CHN-2015
4415,LC412203,K38-YN-CHN-2015
4416,LC412204,K44-YN-CHN-2015
4417,LC412205,K48-YN-CHN-2015
4418,LC412206,N1-YN-CHN-2015
4419,LC412207,N3-YN-CHN-2015
4420,LC412208,N7-YN-CHN-2015
4421,LC412209,N9-YN-CHN-2015
4422,LC412210,N10-YN-CHN-2015
4423,LC412211,N11-YN-CHN-2015
4424,LC412212,N12-YN-CHN-2015
4425,LC412213,N13-YN-CHN-2015
4426,LC412214,N34-YN-CHN-2015
4427,LC412772,A12-YN-CHN-2016
4428,LC412773,A14-YN-CHN-2016
4429,LC412774,A16-YN-CHN-2016
4430,LC412775,A33-YN-CHN-2016
4431,LC412776,A35-YN-CHN-2016
4432,LC412777,A36-YN-CHN-2016
4433,LC412778,A38-YN-CHN-2016
4434,LC412779,A39-YN-CHN-2016
4435,LC412780,A52-YN-CHN-2016
4436,LC412781,A53-YN-CHN-2016
4437,LC412782,A62-YN-CHN-2016
4438,LC412783,A63-YN-CHN-2016
4439,LC412784,A65-YN-CHN-2016
4440,LC412785,A66-YN-CHN-2016
4441,LC412786,A70-YN-CHN-2016
4442,LC412787,A72-YN-CHN-2016
4443,LC412788,A83-YN-CHN-2016
4444,LC412789,A84-YN-CHN-2016
